roll,paper_code,scgpa,cgpa
20010101026,1800265331,4.77,6.82
20010101026,1800265469,2.58,5.65
20010101026,1800265499,5.69,7.15
20010101026,1800265500,4.08,6.4
20010101026,1800265789,4.75,6.81
20010101026,1800265790,2.58,5.98
20010101026,1800265814,5.74,5.93
20010101026,1800265931,4.75,6.81
20010101026,1800265932,2.58,5.98
20010101026,1800265934,5.22,5.84
20010101027,1800265267,4.25,5.92
20010101027,1800265331,4.77,6.46
20010101027,1800265469,5.46,6.06
20010101027,1800265499,5.85,6.84
20010101027,1800265788,6.31,7.0
20010101027,1800265789,4.25,6.33
20010101027,1800265814,6.48,6.21
20010101027,1800265931,4.25,6.33
20010101027,1800265934,5.39,6.1
20010101028,1800265267,5.54,7.09
20010101028,1800265331,7.23,7.59
20010101028,1800265469,6.46,7.2
20010101028,1800265500,6.71,7.38
20010101028,1800265814,7.3,7.21
20010101028,1800265934,6.22,7.08
20010101029,1800265267,6.71,7.56
20010101029,1800265331,7.54,7.84
20010101029,1800265469,6.42,7.34
20010101029,1800265814,7.26,7.36
20010101029,1800265934,6.22,7.21
20010101031,1800265267,4.88,6.97
20010101031,1800265331,7.15,7.65
20010101031,1800265469,6.46,7.07
20010101031,1800265789,6.63,7.4
20010101031,1800265814,6.52,7.09
20010101031,1800265934,6.39,6.99
20010101032,1800265267,2.79,5.43
20010101032,1800265331,4.77,6.28
20010101032,1800265469,4.21,5.49
20010101032,1800265499,5.38,6.5
20010101032,1800265500,3.67,5.81
20010101032,1800265788,5.38,6.5
20010101032,1800265789,4.33,5.97
20010101032,1800265790,4.21,5.62
20010101032,1800265814,5.41,5.58
20010101032,1800265930,6.08,6.74
20010101032,1800265931,5.08,6.34
20010101032,1800265932,4.71,6.02
20010101032,1800265934,5.04,5.79
20010101033,1800265267,3.75,5.96
20010101033,1800265331,4.85,6.68
20010101033,1800265469,1.67,5.58
20010101033,1800265499,5.54,6.92
20010101033,1800265500,5.38,6.54
20010101033,1800265790,2.17,6.07
20010101033,1800265814,4.48,5.79
20010101033,1800265932,4.17,6.47
20010101033,1800265933,4.93,6.19
20010101033,1800265934,5.74,6.13
20010101034,1800265267,6.63,6.97
20010101034,1800265331,6.0,7.08
20010101034,1800265469,6.0,6.78
20010101034,1800265499,6.0,7.08
20010101034,1800265814,5.81,6.77
20010101034,1800265933,5.81,6.77
20010101034,1800265934,4.61,6.48
20010101035,1800265267,7.71,8.01
20010101035,1800265469,7.42,7.89
20010101035,1800265814,7.81,7.88
20010101035,1800265934,8.17,7.92
20010101036,1800265267,6.58,7.21
20010101036,1800265331,6.69,7.42
20010101036,1800265469,6.88,7.15
20010101036,1800265814,7.26,7.17
20010101036,1800265934,7.52,7.22
20010101037,1800265267,8.21,8.81
20010101037,1800265469,8.25,8.7
20010101037,1800265814,8.19,8.6
20010101037,1800265934,8.52,8.59
20010101039,1800265267,6.21,6.74
20010101039,1800265331,6.08,6.92
20010101039,1800265469,4.67,6.34
20010101039,1800265499,6.08,6.92
20010101039,1800265788,6.08,6.92
20010101039,1800265790,4.67,6.34
20010101039,1800265814,6.67,6.4
20010101039,1800265932,5.67,6.66
20010101039,1800265934,6.48,6.64
20010101040,1800265267,8.33,8.61
20010101040,1800265469,7.67,8.43
20010101040,1800265814,8.0,8.35
20010101040,1800265934,8.39,8.35
20010101041,1800265267,3.33,4.92
20010101041,1800265331,2.46,5.43
20010101041,1800265469,2.13,4.52
20010101041,1800265499,3.15,5.68
20010101041,1800265500,3.33,5.1
20010101041,1800265788,3.85,5.92
20010101041,1800265789,4.0,5.45
20010101041,1800265790,2.63,4.89
20010101041,1800265814,3.63,4.66
20010101041,1800265930,5.58,6.53
20010101041,1800265931,4.0,5.91
20010101041,1800265932,4.46,5.62
20010101041,1800265933,4.96,5.5
20010101041,1800265934,4.96,5.43
20010101042,1800265267,5.75,7.27
20010101042,1800265469,6.08,7.23
20010101042,1800265500,6.75,7.51
20010101042,1800265814,6.7,7.13
20010101042,1800265934,7.0,7.12
20010101043,1800265267,7.42,8.31
20010101043,1800265469,7.17,8.08
20010101043,1800265814,7.11,7.91
20010101043,1800265934,7.74,7.88
20010101045,1800265267,7.75,8.06
20010101045,1800265469,7.58,7.97
20010101045,1800265814,8.11,7.99
20010101045,1800265934,8.22,8.02
20010101046,1800265267,4.29,6.7
20010101046,1800265469,4.08,6.19
20010101046,1800265814,0.0,5.07
20010101046,1800265934,4.0,4.92
20010101047,1800265267,5.58,6.81
20010101047,1800265331,6.73,7.2
20010101047,1800265469,6.25,6.7
20010101047,1800265814,6.26,6.62
20010101047,1800265934,6.61,6.62
20010101048,1800265267,5.33,6.79
20010101048,1800265331,6.69,7.26
20010101048,1800265469,6.42,6.98
20010101048,1800265499,7.31,7.47
20010101048,1800265814,4.37,6.5
20010101048,1800265934,6.65,6.59
20010101049,1800265267,8.21,8.74
20010101049,1800265469,8.13,8.62
20010101049,1800265814,8.26,8.56
20010101049,1800265934,8.35,8.53
20010101050,1800265267,7.71,8.26
20010101050,1800265469,7.63,8.13
20010101050,1800265814,7.89,8.09
20010101050,1800265934,8.09,8.09
20010101051,1800265267,3.5,5.8
20010101051,1800265331,4.96,6.54
20010101051,1800265469,5.21,5.68
20010101051,1800265814,4.0,5.38
20010101051,1800265930,4.96,6.54
20010101051,1800265931,4.5,6.04
20010101051,1800265933,4.0,5.54
20010101051,1800265934,5.78,5.57
20010101052,1800265267,7.42,8.19
20010101052,1800265469,7.71,8.1
20010101052,1800265814,7.3,7.95
20010101052,1800265934,8.22,7.99
20010101053,1800265267,7.13,7.83
20010101053,1800265469,6.04,7.48
20010101053,1800265814,6.41,7.28
20010101053,1800265934,7.13,7.26
20010101054,1800265267,5.54,6.92
20010101054,1800265331,6.12,7.36
20010101054,1800265469,4.33,6.41
20010101054,1800265499,6.12,7.36
20010101054,1800265500,5.54,6.92
20010101054,1800265788,6.12,7.36
20010101054,1800265814,4.19,6.22
20010101054,1800265930,7.04,7.69
20010101054,1800265933,5.52,6.62
20010101054,1800265934,6.26,6.58
20010101055,1800265267,6.71,7.44
20010101055,1800265331,7.62,7.68
20010101055,1800265469,7.04,7.36
20010101055,1800265814,7.04,7.3
20010101055,1800265934,7.52,7.33
20010101056,1800265267,6.67,7.63
20010101056,1800265469,6.67,7.44
20010101056,1800265814,7.44,7.44
20010101056,1800265934,7.57,7.46
20010101057,1800265267,6.96,7.64
20010101057,1800265469,6.83,7.48
20010101057,1800265814,6.78,7.36
20010101057,1800265934,7.61,7.39
20010101059,1800265267,6.88,7.89
20010101059,1800265469,7.04,7.77
20010101059,1800265814,7.56,7.73
20010101059,1800265934,7.7,7.73
20010101060,1800265267,7.21,7.96
20010101060,1800265469,7.5,7.87
20010101060,1800265814,8.11,7.91
20010101060,1800265934,8.65,8.01
20010101061,1800265267,7.42,8.12
20010101061,1800265469,7.21,7.94
20010101061,1800265814,7.7,7.9
20010101061,1800265934,8.22,7.94
20010101062,1800265267,8.0,8.62
20010101062,1800265469,7.79,8.46
20010101062,1800265814,8.0,8.38
20010101062,1800265934,8.74,8.42
20010101063,1800265267,5.58,7.02
20010101063,1800265331,7.5,7.49
20010101063,1800265469,5.58,6.87
20010101063,1800265814,6.59,7.01
20010101063,1800265934,7.87,7.12
20010101064,1800265267,8.21,8.27
20010101064,1800265469,8.25,8.26
20010101064,1800265814,8.41,8.29
20010101064,1800265934,8.96,8.38
20010104001,1800265270,2.88,4.55
20010104001,1800265518,2.54,4.25
20010104001,1800265599,2.31,5.26
20010104001,1800265817,0.92,3.67
20010104001,1800265821,2.88,4.67
20010104001,1800265985,2.88,4.67
20010104001,1800265986,2.54,4.25
20010104001,1800265988,2.7,3.68
20010104002,1800265270,5.79,7.1
20010104002,1800265518,6.79,7.04
20010104002,1800265600,5.79,7.1
20010104002,1800265817,5.73,6.89
20010104002,1800265821,6.29,7.22
20010104002,1800265988,5.96,6.77
20010104003,1800265270,4.58,6.11
20010104003,1800265340,6.04,6.61
20010104003,1800265518,6.38,6.26
20010104003,1800265599,6.5,6.77
20010104003,1800265817,3.54,5.99
